### task_name: narma
### 5 0
### input_signal_factor [0.1, 0.6]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey,0,100,0.0000,0.8000,1.1000,0.2300,9.0000,0.99553585,1.00240499,0.99563615
mackey,0,100,0.1000,0.8500,1.1000,0.2300,0.0000,0.08709736,0.08400379,0.09064192
mackey,0,100,0.2000,0.8000,1.1000,0.2300,0.0000,0.06737629,0.06916482,0.07338795
mackey,0,100,0.3000,0.8500,1.1000,0.2300,0.0000,0.04480577,0.04636984,0.04801913
mackey,0,100,0.4000,0.8500,1.1000,0.2900,0.0000,0.03653237,0.03821212,0.04069875
mackey,0,100,0.5000,0.8000,1.4000,0.2300,0.0000,0.02961297,0.02966665,0.03122863
mackey,0,100,0.6000,0.8000,1.6000,0.2600,0.0000,0.01995125,0.02020364,0.02276524
mackey,0,100,0.7000,0.8000,1.1000,0.4400,0.0000,0.02083451,0.02075152,0.02317712
mackey,0,100,0.8000,0.8000,1.1000,0.2900,0.0000,0.02264773,0.02263140,0.02506360
mackey,0,100,0.9000,0.8000,1.1000,0.5000,0.0000,0.02022708,0.01966721,0.02225290
mackey,0,100,1.0000,0.8000,1.1000,0.5000,0.0000,0.02363105,0.02434389,0.02678537
mackey,1,100,0.0000,0.8000,1.1000,0.2300,9.0000,0.99553585,1.00240499,0.99563615
mackey,1,100,0.1000,0.8000,1.1000,0.2300,0.0000,0.07753671,0.07690068,0.08207828
mackey,1,100,0.2000,0.8000,1.1000,0.2300,0.0000,0.05968999,0.06087725,0.06410390
mackey,1,100,0.3000,0.8000,1.1000,0.2300,0.0000,0.04233262,0.04320089,0.04690309
mackey,1,100,0.4000,0.8000,1.1000,0.2900,0.0000,0.03646876,0.03595742,0.03953928
mackey,1,100,0.5000,0.8000,1.1000,0.3800,0.0000,0.03241259,0.03257885,0.03533375
mackey,1,100,0.6000,0.9000,1.1000,0.2900,0.0000,0.02940889,0.02902315,0.03133393
mackey,1,100,0.7000,0.8500,1.1000,0.4100,0.0000,0.03072426,0.02974495,0.03374451
mackey,1,100,0.8000,0.8000,1.1000,0.4700,0.0000,0.02281449,0.02221363,0.02570571
mackey,1,100,0.9000,0.8000,1.2000,0.3800,0.0000,0.02517363,0.02474065,0.02767329
mackey,1,100,1.0000,0.8000,1.1000,0.4700,0.0000,0.02312553,0.02318540,0.02509667
mackey,2,100,0.0000,0.8000,1.1000,0.2300,9.0000,0.99553585,1.00240499,0.99563615
mackey,2,100,0.1000,1.1000,1.6000,0.5000,0.0000,0.09390582,0.08944905,0.09690932
mackey,2,100,0.2000,0.8000,1.1000,0.2300,0.0000,0.06433887,0.06792627,0.07178147
