t,predict_test,teacher
501,0.330428,0.340665,0.000104809
502,0.398833,0.365275,0.00123096
503,0.446525,0.482385,0.00251688
504,0.32274,0.332479,0.00261172
505,0.28692,0.277742,0.00269596
506,0.418796,0.37875,0.00429968
507,0.491366,0.49503,0.0043131
508,0.344176,0.327201,0.00460125
509,0.282482,0.272052,0.00471002
510,0.289532,0.24419,0.00676591
511,0.330534,0.332189,0.00676865
512,0.338336,0.31493,0.00731648
513,0.325442,0.251295,0.0128142
514,0.332917,0.310121,0.0133338
515,0.285034,0.25414,0.0142882
516,0.241305,0.224799,0.0145607
517,0.307326,0.266674,0.0162133
518,0.41114,0.413805,0.0162204
519,0.390462,0.374556,0.0164734
520,0.293559,0.269408,0.0170567
521,0.308841,0.265896,0.0189009
522,0.418118,0.461456,0.0207791
523,0.431016,0.445369,0.0209851
524,0.355591,0.340442,0.0212146
525,0.383727,0.369257,0.021424
526,0.411069,0.417968,0.0214716
527,0.525264,0.543951,0.0218208
528,0.337186,0.359535,0.0223202
529,0.261295,0.286992,0.0229806
530,0.26287,0.276866,0.0231765
531,0.420418,0.388299,0.0242081
532,0.408629,0.435733,0.0249427
533,0.276247,0.281809,0.0249736
534,0.202239,0.233438,0.025947
535,0.246767,0.240325,0.0259885
536,0.443659,0.510237,0.0304211
537,0.322961,0.323717,0.0304217
538,0.340717,0.297565,0.0322838
539,0.264759,0.249839,0.0325064
540,0.230579,0.232809,0.0325113
541,0.306178,0.304648,0.0325137
542,0.201893,0.218061,0.0327751
543,0.269579,0.270667,0.0327763
544,0.319146,0.298947,0.0331843
545,0.254752,0.240191,0.0333963
546,0.264691,0.279017,0.0336016
547,0.183466,0.206779,0.034145
548,0.250507,0.268358,0.0344637
549,0.303309,0.297386,0.0344988
550,0.345407,0.320319,0.0351282
551,0.261456,0.22002,0.0368451
552,0.228251,0.199481,0.0376729
553,0.426748,0.497962,0.0427442
554,0.34549,0.358113,0.0429035
555,0.29258,0.265917,0.0436144
556,0.194081,0.201181,0.0436648
557,0.18351,0.200852,0.0439656
558,0.370527,0.412966,0.0457667
559,0.402055,0.403022,0.0457676
560,0.214296,0.253073,0.0472713
561,0.162107,0.197119,0.0484971
562,0.15041,0.18527,0.0497123
563,0.220884,0.220667,0.0497123
564,0.249141,0.181455,0.0542937
565,0.193881,0.169727,0.0548772
566,0.135386,0.160325,0.0554992
567,0.171846,0.224248,0.0582452
568,0.189092,0.210535,0.0587049
569,0.158398,0.1735,0.058933
570,0.20482,0.278887,0.064419
571,0.205325,0.215885,0.0645305
572,0.381937,0.47254,0.0727394
573,0.28345,0.295442,0.0728832
574,0.317036,0.282958,0.0740445
575,0.416594,0.477115,0.0777073
576,0.371087,0.353006,0.0780342
577,0.399119,0.407404,0.0781029
578,0.294898,0.279818,0.0783303
579,0.455117,0.506865,0.0810082
580,0.450563,0.490386,0.082594
581,0.504092,0.511479,0.0826486
582,0.381741,0.403387,0.0831171
583,0.31066,0.327746,0.0834091
584,0.308498,0.31306,0.0834299
585,0.350795,0.335586,0.0836612
586,0.524838,0.556076,0.084637
587,0.407034,0.42704,0.0850372
588,0.369232,0.36454,0.0850592
589,0.308929,0.300133,0.0851366
590,0.356497,0.354211,0.0851418
591,0.464129,0.519099,0.0881635
592,0.384916,0.392363,0.088219
593,0.371452,0.37518,0.0882329
594,0.355577,0.362521,0.0882811
595,0.473086,0.490166,0.0885728
596,0.52392,0.574335,0.0911145
597,0.407248,0.4278,0.0915369
598,0.297083,0.317343,0.0919474
599,0.196645,0.244025,0.0941922
600,0.429518,0.466249,0.0955414
601,0.488734,0.514145,0.096187
602,0.493653,0.48886,0.09621
603,0.387665,0.371623,0.0964674
604,0.292548,0.269641,0.0969921
605,0.407112,0.438563,0.0979813
606,0.328526,0.337499,0.0980618
607,0.390669,0.393185,0.0980681
608,0.550088,0.580367,0.0989849
609,0.416372,0.437396,0.0994269
610,0.399546,0.410254,0.0995416
611,0.271704,0.297001,0.100182
612,0.364118,0.374007,0.100279
613,0.438455,0.488648,0.102799
614,0.418099,0.411878,0.102837
615,0.379041,0.388347,0.102924
616,0.213947,0.262698,0.105301
617,0.375636,0.435028,0.108828
618,0.474252,0.48769,0.109009
619,0.509352,0.526992,0.10932
620,0.32518,0.333031,0.109381
621,0.267283,0.247007,0.109793
622,0.248318,0.239254,0.109875
623,0.275338,0.264275,0.109997
624,0.28424,0.232344,0.11269
625,0.266043,0.200587,0.116975
626,0.330363,0.342562,0.117124
627,0.207363,0.232988,0.11778
628,0.214065,0.228023,0.117975
629,0.220732,0.204093,0.118252
630,0.34376,0.364909,0.118699
631,0.406964,0.442809,0.119984
632,0.349625,0.300197,0.122427
633,0.249177,0.242013,0.122479
634,0.276942,0.281462,0.122499
635,0.374274,0.362439,0.122639
636,0.365175,0.340737,0.123236
637,0.34881,0.344342,0.123256
638,0.247671,0.251351,0.12327
639,0.279704,0.297306,0.12358
640,0.327079,0.342168,0.123807
641,0.262888,0.26674,0.123822
642,0.249469,0.243739,0.123855
643,0.352899,0.324442,0.124665
644,0.246679,0.228426,0.124998
645,0.367246,0.342539,0.125608
646,0.23028,0.232273,0.125612
647,0.129875,0.194764,0.129823
648,0.317977,0.391266,0.135194
649,0.223463,0.246555,0.135728
650,0.270736,0.31811,0.137972
651,0.22733,0.231877,0.137993
652,0.247383,0.224299,0.138525
653,0.313585,0.352177,0.140015
654,0.331932,0.287392,0.141999
655,0.266017,0.22869,0.143392
656,0.32655,0.30641,0.143798
657,0.382619,0.347863,0.145006
658,0.378504,0.345513,0.146094
659,0.476455,0.509415,0.14718
660,0.233517,0.30111,0.151749
661,0.308192,0.350487,0.153538
662,0.350265,0.357987,0.153598
663,0.218472,0.257805,0.155145
664,0.392379,0.452982,0.158817
665,0.265298,0.284369,0.159181
666,0.259929,0.286933,0.15991
667,0.408482,0.481184,0.165196
668,0.21111,0.288519,0.171188
669,0.342993,0.423907,0.177735
670,0.336554,0.332462,0.177752
671,0.255664,0.271788,0.178012
672,0.359764,0.401882,0.179786
673,0.290095,0.263007,0.18052
674,0.281484,0.278195,0.18053
675,0.419409,0.446639,0.181272
676,0.238899,0.273484,0.182468
677,0.305928,0.330278,0.183061
678,0.390328,0.408302,0.183384
679,0.318337,0.315312,0.183393
680,0.337234,0.316526,0.183822
681,0.211405,0.222349,0.183942
682,0.357628,0.378967,0.184397
683,0.42447,0.450861,0.185094
684,0.301835,0.275284,0.185799
685,0.210361,0.226294,0.186053
686,0.215437,0.214227,0.186054
687,0.337523,0.343424,0.186089
688,0.322158,0.306242,0.186342
689,0.279501,0.215988,0.190376
690,0.200891,0.199433,0.190378
691,0.280157,0.289088,0.190458
692,0.334658,0.355109,0.190876
693,0.291762,0.287728,0.190892
694,0.281028,0.207864,0.196245
695,0.250908,0.215696,0.197485
696,0.467967,0.465147,0.197493
697,0.515814,0.554679,0.199004
698,0.409212,0.402843,0.199044
699,0.29634,0.259586,0.200395
700,0.331074,0.311388,0.200783
701,0.3512,0.350956,0.200783
702,0.371826,0.340343,0.201774
703,0.396767,0.36355,0.202877
704,0.399143,0.382827,0.203143
705,0.301998,0.27531,0.203856
706,0.281701,0.263728,0.204179
707,0.200739,0.215589,0.204399
708,0.277449,0.29722,0.20479
709,0.320107,0.329061,0.20487
710,0.231732,0.232826,0.204872
711,0.238948,0.263215,0.20546
712,0.243484,0.229061,0.205668
713,0.216898,0.211175,0.205701
714,0.247743,0.239748,0.205765
715,0.267335,0.250403,0.206052
716,0.317318,0.309148,0.206119
717,0.373134,0.404519,0.207104
718,0.260217,0.266464,0.207143
719,0.24092,0.253724,0.207307
720,0.234706,0.241196,0.207349
721,0.224634,0.220284,0.207368
722,0.266232,0.244642,0.207834
723,0.354651,0.29678,0.211183
724,0.350906,0.350874,0.211183
725,0.314494,0.290231,0.211771
726,0.227379,0.220082,0.211825
727,0.266106,0.248902,0.212121
728,0.472146,0.543095,0.217154
729,0.354804,0.351413,0.217166
730,0.287372,0.255342,0.218192
731,0.201193,0.213897,0.218353
732,0.427876,0.445476,0.218663
733,0.377859,0.369043,0.218741
734,0.323188,0.269838,0.221587
735,0.269505,0.234326,0.222825
736,0.295047,0.245579,0.225272
