t,predict_test,teacher
501,0.504756,0.458124,0.00217457
502,-0.10387,0.470107,0.331624
503,0.295707,0.83017,0.617275
504,0.411687,0.176864,0.672417
505,0.410406,1.19971,1.29542
506,-0.233201,-0.956621,1.81876
507,0.701543,0.0839617,2.20017
508,-0.212377,0.708251,3.04772
509,0.354892,0.319889,3.04895
510,0.224632,1.07313,3.76889
511,0.591283,-0.512583,4.98741
512,0.798189,0.950123,5.01049
513,-0.867484,-0.416763,5.21364
514,0.190516,1.05371,5.95874
515,-0.0598071,-0.677231,6.33996
516,0.397764,0.673623,6.41605
517,0.0858316,0.161904,6.42184
518,0.690098,1.16652,6.64882
519,-0.0144156,-0.850717,7.34822
520,0.441792,0.341198,7.35834
521,-0.325036,0.580784,8.17885
522,0.0119179,0.634836,8.56688
523,0.38386,0.608128,8.61717
524,0.350309,0.678284,8.72474
525,0.0345727,0.536432,8.9766
526,0.0456132,0.800176,9.54597
527,0.0899354,0.26455,9.57646
528,0.00239707,1.14683,10.8862
529,0.180682,-0.76549,11.7814
530,0.240158,0.523555,11.8617
531,0.209728,0.38886,11.8938
532,0.445056,0.950362,12.1492
533,0.181326,-0.155299,12.2625
534,0.554833,1.24207,12.7348
535,-0.180162,-1.21408,13.8038
536,0.788915,-0.692047,15.997
537,-0.226603,-0.0311571,16.0352
538,0.454694,0.793203,16.1498
539,0.592236,0.118202,16.3745
540,0.359068,1.21844,17.113
541,0.0940396,-1.04086,18.401
542,-0.169179,-0.155853,18.4012
543,-0.069756,0.655456,18.9271
544,-0.25364,0.361286,19.3053
545,0.474135,1.00994,19.5924
546,0.397579,-0.319584,20.1067
547,0.7064,1.15807,20.3107
548,-0.710917,-0.968359,20.377
549,0.0261479,0.0335489,20.377
550,-0.170779,0.712527,21.1573
551,0.379049,0.30192,21.1632
552,0.458949,1.09376,21.5662
553,0.276674,-0.574869,22.2913
554,0.689781,0.857723,22.3195
555,-0.81049,-0.202209,22.6895
556,0.0228219,1.20304,24.0824
557,-0.0377876,-1.08281,25.1745
558,0.378943,-0.278812,25.6071
559,-0.0320339,0.566365,25.9652
560,0.155218,0.462659,26.0597
561,0.839764,0.865829,26.0604
562,0.1588,0.0902041,26.0651
563,0.449044,1.24223,26.6943
564,-0.268814,-1.1309,27.4375
565,0.057034,-0.422644,27.6675
566,-0.296912,0.411291,28.1691
567,0.312329,0.639413,28.2761
568,0.309646,0.552296,28.335
569,0.562651,0.773773,28.3795
570,0.00959807,0.324439,28.4787
571,0.338645,1.0869,29.0385
572,-0.00617821,-0.549018,29.3332
573,0.135134,0.906972,29.929
574,-0.102831,-0.315013,29.974
575,0.26743,1.12885,30.716
576,0.0608038,-0.887991,31.6162
577,0.461336,0.237859,31.6662
578,0.0974923,0.650069,31.9715
579,0.468547,0.484725,31.9718
580,0.483997,0.8618,32.1145
581,0.217301,0.110443,32.1259
582,0.356148,1.24481,32.9157
583,-0.59418,-1.13915,33.2126
584,0.189192,-0.44634,33.6165
585,-0.229594,0.374601,33.9816
586,0.431899,0.675578,34.041
587,0.367854,0.485201,34.0547
588,0.631821,0.875638,34.1142
589,-0.0290871,0.0698885,34.124
590,0.373787,1.25439,34.8994
591,-0.0507954,-1.17515,36.1636
592,0.219294,-0.562655,36.7751
593,-0.196468,0.198001,36.9307
594,0.426546,0.773936,37.0513
595,0.414354,0.219544,37.0893
596,0.602505,1.16343,37.4039
597,-0.0691004,-0.835095,37.9907
598,0.202757,0.375667,38.0206
599,-0.151053,0.551431,38.5141
600,0.16081,0.683325,38.7871
601,0.12837,0.509847,38.9326
602,0.449292,0.841274,39.0862
603,-0.0462602,0.15714,39.1276
604,0.312371,1.21184,39.9367
605,0.0183238,-1.01894,41.0126
606,0.0539191,-0.100746,41.0365
607,0.111088,0.682978,41.3636
608,0.501553,0.316932,41.3976
609,0.329795,1.068,41.9426
610,0.634374,-0.505846,43.2427
611,0.860695,0.965786,43.2537
612,-0.764094,-0.463549,43.3441
613,0.0158382,0.984545,44.2825
614,-0.0178869,-0.488715,44.5041
615,0.371175,0.962031,44.8532
616,0.0526705,-0.442203,45.0981
617,0.725289,1.02152,45.1859
618,-0.167977,-0.591159,45.365
619,0.633503,0.818278,45.3991
620,-0.295203,-0.117129,45.4308
621,0.607334,1.21525,45.8004
622,-0.239563,-1.10156,46.5434
623,0.512268,-0.335981,47.263
624,-0.382381,0.51903,48.0755
625,-0.0930753,0.51568,48.4461
626,0.755291,0.785257,48.447
627,0.155192,0.294346,48.4663
628,0.218874,1.11196,49.2639
629,-0.00515601,-0.651704,49.682
630,0.063158,0.738302,50.1378
631,-0.210201,0.0348456,50.1978
632,0.180797,1.21927,51.2762
633,-0.00182245,-1.07875,52.436
634,0.464815,-0.264487,52.9679
635,-0.0593359,0.565854,53.3588
636,0.183288,0.478879,53.4461
637,0.691024,0.857224,53.4738
638,0.378451,0.110983,53.5453
639,0.520914,1.24397,54.0681
640,-0.330946,-1.13061,54.7076
641,0.111709,-0.418373,54.9886
642,-0.250109,0.414371,55.4301
643,0.315917,0.638635,55.5342
644,0.296222,0.548503,55.5979
645,0.588259,0.762483,55.6282
646,0.019166,0.346882,55.7356
647,0.337481,1.07183,56.2749
648,-0.00247661,-0.4982,56.5206
649,0.132725,0.972929,57.2266
650,-0.108736,-0.479543,57.3641
651,0.252385,0.975076,57.8864
652,0.0525172,-0.476461,58.1662
653,0.444835,0.969758,58.4417
654,0.18664,-0.4543,58.8525
655,0.75301,0.999938,58.9135
656,-0.170789,-0.539045,59.0491
657,0.659685,0.885681,59.1002
658,-0.274921,-0.255025,59.1006
659,0.606924,1.17036,59.418
660,-0.258928,-0.988452,59.9502
661,0.571402,-0.00969198,60.2879
662,-0.381877,0.693639,61.4446
663,0.0857532,0.326959,61.5028
664,0.602584,1.06258,61.7144
665,0.0972907,-0.48282,62.051
666,0.597099,0.994409,62.2088
667,-0.818318,-0.531487,62.2911
668,-0.0067197,0.904681,63.1217
669,-0.123998,-0.313325,63.1576
670,0.36028,1.14304,63.7703
671,0.0936695,-0.931292,64.8208
672,0.697163,0.123531,65.1499
673,-0.261088,0.699792,66.0732
674,0.337118,0.346591,66.0733
675,0.364775,1.04321,66.5336
676,0.150863,-0.421664,66.8613
677,0.509977,1.06971,67.1746
678,-0.835722,-0.735147,67.1847
679,0.12173,0.553101,67.3708
680,-0.19627,0.348743,67.6679
681,0.380883,0.988588,68.0372
682,0.259619,-0.263557,68.3109
683,0.472746,1.19498,68.8325
684,-0.272943,-1.08345,69.4894
685,0.529208,-0.281551,70.1468
686,-0.257313,0.561469,70.8172
687,0.383249,0.467378,70.8242
688,0.552111,0.862221,70.9204
689,0.261637,0.0981606,70.9471
690,0.516298,1.24583,71.4793
691,-0.234299,-1.13809,72.2962
692,0.0685367,-0.443546,72.5584
693,-0.282805,0.392082,73.0139
694,0.310487,0.654112,73.132
695,0.304545,0.513074,73.1754
696,0.57489,0.820481,73.2358
697,-0.0358339,0.213529,73.2979
698,0.361305,1.18362,73.9741
699,-0.0188495,-0.89796,74.747
700,0.167961,0.216672,74.7494
701,-0.162842,0.669378,75.4419
702,0.377664,0.43311,75.445
703,0.203701,0.926994,75.9682
704,0.583849,-0.0702885,76.3961
705,0.60693,1.26751,76.8324
706,-0.659963,-1.26616,77.1999
707,0.301566,-0.867808,78.5673
708,-0.200193,-0.437725,78.6238
709,0.503792,0.477585,78.6245
710,0.568298,0.549116,78.6248
