t,predict_test,teacher
501,0.481734,0.458124,0.000557435
502,-0.259529,0.470107,0.532927
503,0.560987,0.83017,0.605386
504,0.368954,0.176864,0.642285
505,0.404331,1.19971,1.27492
506,-0.321538,-0.956621,1.67825
507,0.24675,0.0839617,1.70475
508,-0.0207579,0.708251,2.2362
509,0.614663,0.319889,2.3231
510,0.306523,1.07313,2.91077
511,0.540529,-0.512583,4.01982
512,0.89416,0.950123,4.02295
513,-0.673673,-0.416763,4.08895
514,0.276231,1.05371,4.69342
515,0.0125594,-0.677231,5.16923
516,0.395091,0.673623,5.24681
517,0.242258,0.161904,5.25327
518,0.514412,1.16652,5.67852
519,0.296801,-0.850717,6.99532
520,0.551333,0.341198,7.03948
521,-0.438272,0.580784,8.07795
522,0.352238,0.634836,8.15781
523,0.340738,0.608128,8.22931
524,0.343633,0.678284,8.3413
525,0.0595608,0.536432,8.56871
526,-0.248819,0.800176,9.6691
527,0.0527436,0.26455,9.71396
528,0.0911491,1.14683,10.8284
529,0.0393094,-0.76549,11.4761
530,0.139728,0.523555,11.6234
531,-0.010568,0.38886,11.783
532,0.572591,0.950362,11.9257
533,0.197754,-0.155299,12.0503
534,0.503741,1.24207,12.5955
535,-0.354666,-1.21408,13.3341
536,0.489202,-0.692047,14.7294
537,0.0219437,-0.0311571,14.7322
538,0.435887,0.793203,14.8599
539,0.474953,0.118202,14.9872
540,0.511041,1.21844,15.4876
541,-0.0993397,-1.04086,16.3741
542,-0.102683,-0.155853,16.3769
543,0.355767,0.655456,16.4667
544,-0.0561854,0.361286,16.641
545,0.327894,1.00994,17.1062
546,0.314109,-0.319584,17.5077
547,1.01327,1.15807,17.5287
548,-0.541057,-0.968359,17.7113
549,-0.080829,0.0335489,17.7244
550,-0.0840498,0.712527,18.3589
551,0.260299,0.30192,18.3606
552,0.440451,1.09376,18.7875
553,0.349418,-0.574869,19.6418
554,0.752907,0.857723,19.6527
555,-0.631605,-0.202209,19.8371
556,0.148913,1.20304,20.9483
557,0.0401937,-1.08281,22.2094
558,0.397159,-0.278812,22.6664
559,0.0538522,0.566365,22.929
560,0.184552,0.462659,23.0064
561,0.586864,0.865829,23.0842
562,0.186472,0.0902041,23.0935
563,0.753392,1.24223,23.3324
564,-0.19796,-1.1309,24.2028
565,-0.207826,-0.422644,24.249
566,-0.237294,0.411291,24.6696
567,0.428188,0.639413,24.7142
568,0.35949,0.552296,24.7514
569,0.577856,0.773773,24.7898
570,0.193441,0.324439,24.807
571,0.248904,1.0869,25.5092
572,-0.14694,-0.549018,25.6709
573,0.0286395,0.906972,26.4423
574,-0.0641142,-0.315013,26.5053
575,0.438909,1.12885,26.9813
576,0.0450577,-0.887991,27.8519
577,0.456405,0.237859,27.8996
578,0.197941,0.650069,28.1041
579,0.300878,0.484725,28.1379
580,0.528269,0.8618,28.2491
581,0.27449,0.110443,28.276
582,0.299619,1.24481,29.1694
583,-0.539675,-1.13915,29.5288
584,0.165937,-0.44634,29.9037
585,-0.106355,0.374601,30.135
586,0.528348,0.675578,30.1567
587,0.433771,0.485201,30.1593
588,0.654746,0.875638,30.2081
589,0.0982961,0.0698885,30.2089
590,0.242176,1.25439,31.2335
591,-0.0816804,-1.17515,32.4291
592,0.157846,-0.562655,32.9483
593,-0.129659,0.198001,33.0556
594,0.481413,0.773936,33.1412
595,0.446825,0.219544,33.1928
596,0.659173,1.16343,33.4471
597,-0.184344,-0.835095,33.8706
598,0.0673373,0.375667,33.9657
599,0.255503,0.551431,34.0532
600,0.38636,0.683325,34.1414
601,0.116302,0.509847,34.2963
602,0.395564,0.841274,34.495
603,-0.0534953,0.15714,34.5393
604,-0.101358,1.21184,36.2638
605,0.0249845,-1.01894,37.3536
606,0.204062,-0.100746,37.4465
607,-0.0338418,0.682978,37.9603
608,0.590609,0.316932,38.0352
609,0.366029,1.068,38.528
610,0.579688,-0.505846,39.7064
611,1.09095,0.965786,39.722
612,-0.603353,-0.463549,39.7416
613,-0.00140291,0.984545,40.7137
614,0.0344547,-0.488715,40.9874
615,0.361746,0.962031,41.3477
616,0.233717,-0.442203,41.8046
617,0.617201,1.02152,41.9681
618,0.153607,-0.591159,42.5227
619,0.555147,0.818278,42.592
620,0.0172949,-0.117129,42.6101
621,0.448791,1.21525,43.1975
622,0.135294,-1.10156,44.7273
623,0.597249,-0.335981,45.5982
624,-0.268195,0.51903,46.218
625,0.0631266,0.51568,46.4228
626,0.493795,0.785257,46.5077
627,0.172165,0.294346,46.5226
628,0.520816,1.11196,46.8721
629,0.0290172,-0.651704,47.3355
630,-0.226595,0.738302,48.2665
631,-0.212608,0.0348456,48.3277
632,0.43446,1.21927,48.9436
633,0.0435908,-1.07875,50.2033
634,0.460731,-0.264487,50.7292
635,-0.135547,0.565854,51.2212
636,0.440204,0.478879,51.2227
637,0.506696,0.857224,51.3456
638,0.353153,0.110983,51.4042
639,0.884395,1.24397,51.5335
640,-0.260675,-1.13061,52.2903
641,-0.174539,-0.418373,52.3497
642,-0.220569,0.414371,52.7529
643,0.438627,0.638635,52.7929
644,0.360067,0.548503,52.8284
645,0.595217,0.762483,52.8564
646,0.221782,0.346882,52.872
647,0.241639,1.07183,53.5612
648,-0.151955,-0.4982,53.6811
649,0.026743,0.972929,54.5764
650,-0.0774115,-0.479543,54.7381
651,0.418212,0.975076,55.0482
652,0.0235198,-0.476461,55.2982
653,0.430241,0.969758,55.5893
654,0.325388,-0.4543,56.1972
655,0.668851,0.999938,56.3068
656,0.129097,-0.539045,56.7532
657,0.550924,0.885681,56.8653
658,0.055136,-0.255025,56.9615
659,0.469539,1.17036,57.4526
660,0.101489,-0.988452,58.6406
661,0.592201,-0.00969198,59.0029
662,-0.145447,0.693639,59.7069
663,-0.00415551,0.326959,59.8166
664,0.508789,1.06258,60.1233
665,0.139117,-0.48282,60.5101
666,0.738768,0.994409,60.5754
667,-0.621628,-0.531487,60.5835
668,0.070198,0.904681,61.2799
669,-0.0237063,-0.313325,61.3638
670,0.351251,1.14304,61.9907
671,0.289589,-0.931292,63.4813
672,0.708746,0.123531,63.8237
673,-0.0351813,0.699792,64.3639
674,0.142031,0.346591,64.4058
675,0.444122,1.04321,64.7647
676,0.191263,-0.421664,65.1404
677,0.529232,1.06971,65.4325
678,-0.627034,-0.735147,65.4442
679,0.249106,0.553101,65.5366
680,-0.0730507,0.348743,65.7145
681,0.339698,0.988588,66.1355
682,0.41528,-0.263557,66.5964
683,0.595825,1.19498,66.9553
684,-0.475885,-1.08345,67.3245
685,0.429499,-0.281551,67.8301
686,0.00602023,0.561469,68.1386
687,0.327583,0.467378,68.1581
688,0.472363,0.862221,68.3101
689,0.355849,0.0981606,68.3765
690,0.797705,1.24583,68.5774
691,-0.188158,-1.13809,69.4797
