t,predict_test,teacher
501,0.865832,0.866578,5.56816e-07
502,-0.191993,-0.20144,8.97934e-05
503,0.865951,0.871772,0.000123678
504,0.142569,0.130908,0.000259674
505,0.933392,0.940353,0.000308123
506,0.764718,0.761046,0.000321607
507,-0.657454,-0.64591,0.000454893
508,-0.883956,-0.887257,0.000465791
509,0.877541,0.874715,0.000473779
510,0.696432,0.68308,0.000652056
511,-0.96096,-0.947846,0.00082403
512,-0.254971,-0.227641,0.00157096
513,0.542612,0.528574,0.001768
514,-0.19167,-0.191907,0.00176806
515,-0.553217,-0.547245,0.00180372
516,0.915777,0.906381,0.00189201
517,0.676484,0.662702,0.00208194
518,-0.901832,-0.888288,0.00226539
519,-0.848464,-0.840524,0.00232843
520,0.620978,0.611898,0.00241088
521,0.515692,0.509102,0.00245431
522,-0.2072,-0.193442,0.00264359
523,-0.0121766,-0.0092125,0.00265238
524,0.996582,0.981967,0.00286598
525,0.998866,0.997851,0.00286701
526,0.478603,0.480805,0.00287186
527,-0.31419,-0.296786,0.00317475
528,0.667484,0.670237,0.00318232
529,-0.0313957,-0.0330997,0.00318523
530,0.706209,0.711107,0.00320922
531,-0.880055,-0.881193,0.00321051
532,-0.645154,-0.634396,0.00332626
533,-0.743336,-0.756884,0.00350983
534,1.00833,0.997155,0.00363466
535,0.47948,0.453631,0.00430284
536,-0.785464,-0.76755,0.00462374
537,-0.727313,-0.727829,0.004624
538,0.332009,0.323673,0.00469348
539,0.925073,0.920269,0.00471656
540,-0.941351,-0.938991,0.00472213
541,0.937164,0.950756,0.00490687
542,-0.270599,-0.288863,0.00524045
543,-0.867485,-0.86746,0.00524045
544,-0.445173,-0.440576,0.00526158
545,-0.909413,-0.924677,0.00549456
546,-0.669151,-0.661667,0.00555057
547,0.488502,0.478389,0.00565283
548,-0.0115631,-0.0191543,0.00571046
549,0.546638,0.545548,0.00571165
550,-0.94572,-0.947253,0.005714
551,0.955465,0.967268,0.00585331
552,-0.276021,-0.300443,0.00644972
553,0.308279,0.321388,0.00662159
554,-0.987303,-0.999714,0.00677561
555,-0.0678774,-0.0354561,0.00782675
556,0.987222,0.984573,0.00783376
557,-0.0940076,-0.10453,0.00794448
558,-0.911151,-0.915225,0.00796108
559,-0.553219,-0.538921,0.0081655
560,-0.886847,-0.908271,0.00862448
561,0.50738,0.510731,0.0086357
562,0.904634,0.896394,0.0087036
563,-0.996016,-0.989705,0.00874342
564,-1.006,-0.997698,0.00881239
565,-0.75368,-0.757175,0.00882461
566,-0.793709,-0.799039,0.00885303
567,-0.977682,-0.999911,0.00934715
568,-0.490733,-0.474033,0.00962604
569,-0.860405,-0.873904,0.00980827
570,0.82997,0.82651,0.00982025
571,-0.225154,-0.240962,0.0100701
572,-0.741193,-0.735628,0.0101011
573,0.982534,0.971155,0.0102306
574,-0.594652,-0.611232,0.0105055
575,1.00153,0.996777,0.0105281
576,-0.88503,-0.908434,0.0110758
577,0.834781,0.849322,0.0112873
578,0.782052,0.772105,0.0113862
579,0.374763,0.386454,0.0115228
580,-0.132962,-0.123542,0.0116116
581,-0.312244,-0.308203,0.0116279
582,1.0026,0.993863,0.0117043
583,0.443519,0.422233,0.0121574
584,0.948439,0.962794,0.0123635
585,0.136849,0.134671,0.0123682
586,-0.277382,-0.25927,0.0126963
587,-0.769379,-0.779069,0.0127902
588,-0.135121,-0.132412,0.0127975
589,0.99425,0.985357,0.0128766
590,0.0818044,0.0706291,0.0130015
591,0.31527,0.325651,0.0131093
592,0.518134,0.515445,0.0131165
593,0.77367,0.776566,0.0131249
594,0.76723,0.77519,0.0131882
595,-0.208981,-0.196535,0.0133432
596,0.0715154,0.0836576,0.0134906
597,-0.151591,-0.155286,0.0135042
598,0.876769,0.868138,0.0135787
599,0.9727,0.980388,0.0136378
600,0.200801,0.200585,0.0136379
601,-0.796068,-0.791822,0.0136559
602,-0.955948,-0.964555,0.01373
603,0.896345,0.899626,0.0137408
604,0.459188,0.442746,0.0140111
605,0.912425,0.917087,0.0140328
606,0.98612,0.992326,0.0140713
607,0.335806,0.335941,0.0140713
608,0.60931,0.622629,0.0142487
609,-0.714195,-0.709891,0.0142673
610,-0.0453684,-0.0313742,0.0144631
611,0.966091,0.957907,0.0145301
612,-0.125587,-0.130395,0.0145532
613,-0.0432874,-0.0311763,0.0146999
614,-0.53876,-0.541654,0.0147083
615,0.876315,0.868769,0.0147652
616,0.591833,0.580465,0.0148944
617,0.513062,0.525834,0.0150576
618,0.516499,0.521336,0.015081
619,-0.979282,-0.977076,0.0150858
620,0.660855,0.678594,0.0154005
621,0.844881,0.841764,0.0154102
622,0.952489,0.965301,0.0155744
623,-0.969753,-0.97058,0.015575
624,-0.00591152,0.0286293,0.0167681
625,-0.881058,-0.898091,0.0170583
626,-0.76539,-0.750347,0.0172846
627,-0.93303,-0.958048,0.0179105
628,0.107697,0.116997,0.017997
629,0.951928,0.944179,0.018057
630,-0.887091,-0.886818,0.0180571
631,-0.0154635,0.00713119,0.0185676
632,0.391726,0.374518,0.0188637
633,0.98049,0.987514,0.0189131
634,0.378139,0.373674,0.018933
635,0.315767,0.326691,0.0190523
636,-0.891706,-0.886527,0.0190792
637,-0.36999,-0.350648,0.0194533
638,-0.195648,-0.201658,0.0194894
639,-0.187346,-0.189072,0.0194924
640,0.034949,0.0344986,0.0194926
641,-0.40661,-0.40935,0.0195001
642,0.604758,0.600439,0.0195187
643,0.796559,0.793338,0.0195291
644,-0.764291,-0.759787,0.0195494
645,-0.759102,-0.754287,0.0195726
646,1.01714,0.99777,0.0199478
647,-0.976474,-0.996367,0.0203435
648,0.0621334,0.100599,0.0218231
649,-0.973807,-0.979663,0.0218574
650,-0.948672,-0.943948,0.0218797
651,0.305863,0.30692,0.0218808
652,-0.810479,-0.816183,0.0219134
653,0.403112,0.412848,0.0220081
654,0.322304,0.306363,0.0222622
655,0.987214,0.993582,0.0223028
656,0.718768,0.712012,0.0223485
657,0.76525,0.776097,0.0224661
658,-0.967498,-0.957645,0.0225632
659,0.112763,0.14388,0.0235314
660,-0.379955,-0.391048,0.0236545
661,-0.294878,-0.289466,0.0236838
662,1.00087,0.988832,0.0238286
663,-0.917365,-0.935112,0.0241436
664,0.424915,0.451556,0.0248533
665,0.91297,0.908036,0.0248777
666,-0.94414,-0.93901,0.024904
667,0.586548,0.607085,0.0253258
668,-0.761965,-0.770633,0.0254009
669,-0.553904,-0.541219,0.0255618
670,0.892884,0.875897,0.0258504
671,-0.986382,-0.991495,0.0258765
672,0.778089,0.803226,0.0265084
673,0.855896,0.849405,0.0265505
674,-0.463274,-0.449777,0.0267326
675,0.366182,0.374389,0.0268
676,0.027407,0.0240886,0.026811
677,-0.69227,-0.689647,0.0268179
678,0.779872,0.776443,0.0268297
679,-0.989258,-0.998381,0.0269129
680,0.080537,0.118719,0.0283707
681,0.997535,0.992471,0.0283964
682,0.300072,0.289316,0.0285121
