### task_name: narma
### 10 0
### input_signal_factor [0.002, 0.052]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
sinc,0,20,0.0000,0.0020,2.0000,0.7800,1.0000,0.13975090,0.14272604,0.12854809
sinc,0,20,0.1000,0.0070,0.8000,0.8500,2.0000,0.14494527,0.13818262,0.13190858
sinc,0,20,0.2000,0.0070,1.6000,0.8500,0.0000,0.14004810,0.15192603,0.13286077
sinc,0,20,0.3000,0.0020,1.6000,0.9200,0.0000,0.15148924,0.16231724,0.13957849
sinc,0,20,0.4000,0.0020,0.4000,0.9200,0.0000,0.15616043,0.15127704,0.14279191
sinc,0,20,0.5000,0.0020,1.2000,0.6400,0.0000,0.13536990,0.14151320,0.13005589
sinc,0,20,0.6000,0.0120,0.4000,0.7100,2.0000,0.16652116,0.17367744,0.15299037
sinc,0,20,0.7000,0.0020,0.4000,0.7800,0.0000,0.14541316,0.15526281,0.13637412
sinc,0,20,0.8000,0.0020,0.4000,0.7800,0.0000,0.14523094,0.15520061,0.13652117
sinc,0,20,0.9000,0.0020,0.8000,0.9200,0.0000,0.16888799,0.18102724,0.15891990
sinc,0,20,1.0000,0.0020,0.8000,0.7800,0.0000,0.21610551,0.22320827,0.20162256
sinc,1,20,0.0000,0.0520,0.0000,0.8500,0.0000,0.19087403,0.21487001,0.18053415
sinc,1,20,0.1000,0.0520,0.4000,0.7100,0.0000,0.22777597,0.25111836,0.22114375
sinc,1,20,0.2000,0.0070,0.4000,0.7800,0.0000,0.22498658,0.24929638,0.22349778
sinc,1,20,0.3000,0.0070,2.0000,0.8500,0.0000,0.27960518,0.29976512,0.27313017
sinc,1,20,0.4000,0.0020,2.0000,0.7800,0.0000,0.29781853,0.32514193,0.28643556
sinc,1,20,0.5000,0.0120,1.6000,0.9200,0.0000,0.30575191,0.32827567,0.31354691
sinc,1,20,0.6000,0.0020,1.6000,0.8500,0.0000,0.32527771,0.35303912,0.32019356
sinc,1,20,0.7000,0.0020,0.8000,0.8500,0.0000,0.18784707,0.21539603,0.18378291
sinc,1,20,0.8000,0.0020,0.0000,0.8500,0.0000,0.26939276,0.28788525,0.26089876
sinc,1,20,0.9000,0.0020,0.8000,0.7100,0.0000,0.29728400,0.32438527,0.28661266
sinc,1,20,1.0000,0.0020,1.6000,0.7800,0.0000,0.20012526,0.21338910,0.19029891
sinc,2,20,0.0000,0.0270,2.0000,0.7800,0.0000,0.16446999,0.18145314,0.15529314
sinc,2,20,0.1000,0.0020,1.6000,0.8500,0.0000,0.16043940,0.17812082,0.15190023
sinc,2,20,0.2000,0.0020,0.4000,0.7800,0.0000,0.18217113,0.20148846,0.16949489
sinc,2,20,0.3000,0.0020,0.8000,0.7100,0.0000,0.16996895,0.18887670,0.16036402
sinc,2,20,0.4000,0.0020,1.2000,0.7100,0.0000,0.17378802,0.18475875,0.15896613
sinc,2,20,0.5000,0.0070,2.0000,0.7100,0.0000,0.17449913,0.19561706,0.16664164
sinc,2,20,0.6000,0.0020,1.2000,0.8500,0.0000,0.16665611,0.17477118,0.15382731
sinc,2,20,0.7000,0.0020,1.6000,0.7100,0.0000,0.17340109,0.19161960,0.16103272
sinc,2,20,0.8000,0.0020,1.6000,0.7100,0.0000,0.17269654,0.19102858,0.16058646
sinc,2,20,0.9000,0.0020,1.6000,0.6400,0.0000,0.17257551,0.19282598,0.16181853
sinc,2,20,1.0000,0.0020,1.6000,0.7100,0.0000,0.18036070,0.20476967,0.17257403
