### task_name: laser
### 1 0
### input_signal_factor [0.1, 4.1]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
sinc,0,100,0.0000,0.1000,1.0000,0.9000,0.0000,0.16740636,0.15845617,0.21047426
sinc,0,100,0.1000,0.9000,2.0000,0.6000,0.0000,0.00542961,0.00460136,0.01492786
sinc,0,100,0.2000,0.9000,2.5000,0.5000,0.0000,0.00384581,0.00367630,0.02883080
sinc,0,100,0.3000,0.9000,2.0000,0.5000,1.0000,0.00292896,0.00309820,0.02949916
sinc,0,100,0.4000,0.9000,2.0000,0.6000,3.0000,0.00301060,0.00285925,0.02041293
sinc,0,100,0.5000,0.5000,1.5000,0.5000,1.0000,0.00261918,0.00283435,0.01736437
sinc,0,100,0.6000,1.3000,2.0000,0.5000,4.0000,0.00285436,0.00297375,0.01628180
sinc,0,100,0.7000,0.9000,2.5000,0.5000,3.0000,0.00255750,0.00307651,0.01676049
sinc,0,100,0.8000,1.3000,2.5000,0.5000,0.0000,0.00244312,0.00295423,0.02216772
sinc,0,100,0.9000,0.5000,2.5000,0.5000,1.0000,0.00282241,0.00337410,0.02213621
sinc,0,100,1.0000,0.9000,1.0000,0.5000,4.0000,0.00371838,0.00391190,0.03037275
sinc,1,100,0.0000,2.9000,0.5000,0.9000,1.0000,0.16706193,0.15799010,0.20989634
sinc,1,100,0.1000,0.9000,2.5000,0.6000,1.0000,0.00473179,0.00444710,0.01605128
sinc,1,100,0.2000,2.5000,2.5000,0.6000,3.0000,0.00360908,0.00357063,0.01174008
sinc,1,100,0.3000,1.3000,0.5000,0.4000,1.0000,0.00262427,0.00289791,0.03182458
sinc,1,100,0.4000,0.9000,2.5000,0.6000,0.0000,0.00271913,0.00257083,0.01991556
sinc,1,100,0.5000,0.5000,2.5000,0.5000,1.0000,0.00268134,0.00294116,0.02269808
sinc,1,100,0.6000,0.5000,2.0000,0.5000,0.0000,0.00269560,0.00279320,0.01791494
sinc,1,100,0.7000,1.3000,2.5000,0.7000,6.0000,0.00306853,0.00295530,0.01621739
sinc,1,100,0.8000,0.9000,1.0000,0.5000,4.0000,0.00346312,0.00349236,0.01063192
sinc,1,100,0.9000,0.5000,1.0000,0.4000,1.0000,0.00336520,0.00349935,0.02519146
sinc,1,100,1.0000,0.5000,1.0000,0.4000,1.0000,0.00301195,0.00304753,0.02639296
sinc,2,100,0.0000,0.9000,2.5000,0.9000,0.0000,0.16737497,0.15844934,0.21041473
sinc,2,100,0.1000,0.5000,0.5000,0.5000,0.0000,0.00654615,0.00517308,0.01567567
sinc,2,100,0.2000,1.3000,1.5000,0.4000,0.0000,0.00294210,0.00300139,0.01687319
sinc,2,100,0.3000,2.1000,2.0000,0.6000,0.0000,0.00350176,0.00305810,0.01186777
sinc,2,100,0.4000,0.5000,0.5000,0.4000,0.0000,0.00332936,0.00326664,0.01790184
sinc,2,100,0.5000,0.9000,2.5000,0.5000,2.0000,0.00254996,0.00281861,0.01633128
sinc,2,100,0.6000,0.5000,2.0000,0.4000,0.0000,0.00279815,0.00309418,0.01939825
sinc,2,100,0.7000,0.9000,1.0000,0.3000,0.0000,0.00297199,0.00329877,0.02669244
sinc,2,100,0.8000,0.5000,1.0000,0.4000,1.0000,0.00292612,0.00316068,0.02164537
sinc,2,100,0.9000,0.9000,1.0000,0.3000,0.0000,0.00316969,0.00340313,0.03488005
sinc,2,100,1.0000,0.5000,2.0000,0.5000,1.0000,0.00285168,0.00343642,0.02329597
